id|creationDate|locationIP|browserUsed|content|length
687194768327|2011-10-02T16:30:27.906+0000|213.55.109.252|Opera|maybe|5
687194768328|2011-10-02T19:16:05.405+0000|213.55.124.135|Opera|About Mickey Mouse, ald Duck, and Goofy, and his nemesis Pete among others. Originally c|88
618475291594|2011-08-01T02:39:40.187+0000|141.136.14.130|Firefox|About Vojvodina, ion of minority rights; there are more than 26 ethnic groups in the province, which ha|103
618475291595|2011-08-01T00:36:32.318+0000|31.205.225.206|Chrome|About Andrew Johnson,  policies. The Radicals in the House of Representatives imp|81
618475291596|2011-08-01T00:39:13.671+0000|31.192.211.172|Firefox|ok|2
618475291597|2011-08-02T00:27:18.670+0000|78.24.32.102|Chrome|About Andrew Johnson, n the state and transitioned for a time About Mel Blanc, |79
618475291598|2011-08-01T03:22:33.792+0000|124.41.204.210|Firefox|roflol|6
618475291599|2011-08-02T07:37:12.407+0000|77.73.217.155|Firefox|About Mel Blanc, r Hanna-Barbera's television cartoons, mostAbout John Williams, Jul|84
618475291600|2011-08-02T16:19:49.357+0000|31.177.9.162|Chrome|cool|4
618475291601|2011-08-02T17:48:15.940+0000|62.68.60.157|Firefox|About Mel Blanc, oices,” Blanc is regarded as onAbout England, nd legal impact on the wide|90
618475291602|2011-08-01T22:25:41.524+0000|27.110.82.197|Chrome|LOL|3
618475291603|2011-08-01T00:37:07.296+0000|84.246.98.201|Firefox|About Mahinda Rajapaksa, paksa, Tamil: மகிந்த ராசபக்ச; born NoveAbout County |77
618475291604|2011-08-01T17:17:37.346+0000|204.79.186.200|Internet Explorer|good|4
618475291605|2011-08-01T07:45:15.318+0000|41.56.235.42|Internet Explorer|I see|5
618475291606|2011-08-02T11:41:34.413+0000|31.25.187.16|Chrome|About Lou Reed,  following in the years since its demise and has gone on to become one of the most widAbout Mel Blanc, theatrical cartoons. He later worked for Hanna-Barbe|171
618475291607|2011-08-01T17:25:25.695+0000|78.158.186.199|Chrome|About Mahinda Rajapaksa,  to the Parliament of Sri LankaAbout Ron Paul, s a Republican in |90
412316861401|2011-03-16T12:49:31.861+0000|202.124.182.166|Internet Explorer|About Manmohan Singh, en the CongAbout Marc Gicquel,  turned proAbout Alex|74
412316861402|2011-03-16T14:11:32.482+0000|62.8.76.172|Chrome|good|4
412316861403|2011-03-15T21:37:12.543+0000|79.170.62.254|Chrome|great|5
412316861404|2011-03-15T23:52:10.384+0000|41.204.109.136|Chrome|no way!|7
412316861405|2011-03-15T19:02:03.933+0000|41.72.118.168|Chrome|cool|4
412316861406|2011-03-16T13:32:49.987+0000|61.11.209.117|Chrome|About Charles V, Holy Roman Emperor, e miracle oAbout Marc Gicquel, icquel i|76
412316861407|2011-03-16T20:05:14.498+0000|113.11.144.42|Chrome|great|5
412316861408|2011-03-16T13:22:41.574+0000|84.237.168.120|Internet Explorer|About Manmohan Singh, ame to power afAbout Jimmy Carter, n October 1, 19About One Ni|84
481036338146|2011-05-10T19:58:38.832+0000|31.169.38.112|Firefox|thx|3
481036338147|2011-05-10T06:29:45.015+0000|89.144.146.43|Chrome|About Hassan II of Morocco, II; July 9, 192About Horatio Nelson, 1st Visco|74
481036338148|2011-05-10T14:51:28.882+0000|200.3.114.47|Chrome|thanks|6
481036338149|2011-05-10T09:35:24.520+0000|196.12.244.218|Chrome|thx|3
481036338150|2011-05-10T07:11:25.313+0000|193.188.134.107|Firefox|About Prince Philip, Duke of Edinburgh, s Royal HighAbout Benito Mussolini, le I|80
481036338151|2011-05-10T07:56:19.416+0000|31.42.39.81|Chrome|right|5
481036338152|2011-05-10T06:38:13.551+0000|193.194.4.179|Chrome|thanks|6
481036338153|2011-05-10T15:28:56.478+0000|79.126.243.14|Firefox|right|5
481036338154|2011-05-11T02:29:41.884+0000|91.188.42.222|Firefox|yes|3
481036338155|2011-05-10T08:48:48.159+0000|58.84.236.189|Internet Explorer|no|2
481036338156|2011-05-10T04:52:34.797+0000|190.5.69.17|Chrome|About Hassan II of Morocco, in 1999. He wAbout Mark Antony, er and defeatAbout League |86
481036338157|2011-05-10T07:18:06.331+0000|41.92.165.142|Firefox|maybe|5
481036338159|2011-05-10T16:19:56.349+0000|41.74.47.253|Chrome|thanks|6
481036338160|2011-05-10T08:51:58.882+0000|193.17.215.216|Internet Explorer|I see|5
687194768974|2011-10-31T00:01:47.790+0000|77.75.22.180|Internet Explorer|yes|3
687194768975|2011-10-30T17:39:49.826+0000|188.65.30.119|Internet Explorer|great|5
687194768976|2011-10-30T20:17:36.488+0000|196.12.13.54|Internet Explorer|thx|3
481036338770|2011-05-22T01:40:23.403+0000|31.13.7.41|Firefox|no way!|7
481036338771|2011-05-22T06:52:03.563+0000|140.148.90.86|Chrome|About Francis of Assisi,  son of a wealthy cloth meAbout Livy, e period from the earliestAbout Eugène Ionesco, culing the most banal situAbout Queen Victoria, randchildren who|175
481036338772|2011-05-22T14:58:36.938+0000|41.84.225.15|Internet Explorer|thx|3
481036338773|2011-05-22T13:01:12.605+0000|101.53.49.72|Internet Explorer|About George I of Great Britain, on, Jacobites About Livy, Claudian familAbout|78
481036338774|2011-05-22T13:43:59.147+0000|31.159.66.105|Chrome|yes|3
481036338775|2011-05-22T17:57:35.244+0000|222.165.139.93|Internet Explorer|About William the Conqueror, reatened invaAbout Livy, he period froAbout Eugène Iones|85
481036338776|2011-05-22T14:33:52.658+0000|183.177.104.63|Firefox|About Otto von Bismarck, e for the unAbout Livy,  young man nAbout James Joyce, s early t|89
481036338777|2011-05-22T17:58:55.286+0000|1.67.1.224|Firefox|no|2
481036338778|2011-05-22T07:02:02.226+0000|24.153.15.20|Firefox|right|5
481036338779|2011-05-22T09:14:16.216+0000|82.114.182.233|Internet Explorer|yes|3
481036338780|2011-05-22T06:55:48.912+0000|41.74.46.188|Firefox|About Queen Victoria, I belonged toAbout Herbert Kitchener, 1st Earl Kitchene|77
687194768990|2011-11-14T16:23:17.006+0000|31.55.201.62|Firefox|LOL|3
687194768991|2011-11-14T06:39:46.527+0000|103.3.63.16|Chrome|great|5
687194768992|2011-11-14T06:41:43.009+0000|41.74.47.1|Chrome|yes|3
687194768993|2011-11-14T16:00:18.606+0000|111.125.128.205|Internet Explorer|no way!|7
687194768994|2011-11-14T23:36:17.998+0000|41.77.255.24|Chrome|thanks|6
687194768995|2011-11-14T06:42:52.681+0000|190.151.177.10|Chrome|right|5
687194768996|2011-11-14T17:43:17.505+0000|204.231.224.77|Firefox|About Benny Goodman, ially-integrated jazz groups. Goodman continued to perform to nearly the end of hAbout All Shook Up, weeks. It also topped the R&B chart fo|160
687194768997|2011-11-14T21:31:19.101+0000|46.227.17.93|Firefox|LOL|3
687194768998|2011-11-14T20:25:30.108+0000|196.201.224.189|Chrome|thanks|6
687194768999|2011-11-15T08:17:06.288+0000|204.152.14.76|Firefox|fine|4
687194769000|2011-11-14T06:51:27.422+0000|31.177.99.132|Internet Explorer|About Cuba,  that the Kremlin would agree to their demands, and expected a|74
687194769001|2011-11-14T18:03:17.201+0000|213.35.183.209|Firefox|thanks|6
687194769002|2011-11-14T19:26:54.170+0000|209.45.0.86|Internet Explorer|About Nazi Germany, ystem that began as an instrument of political oppress|74
687194769003|2011-11-14T06:54:04.501+0000|31.44.85.120|Chrome|great|5
687194769004|2011-11-14T18:52:06.691+0000|91.200.196.50|Internet Explorer|roflol|6
687194769005|2011-11-14T21:09:10.276+0000|27.118.77.99|Chrome|duh|3
687194769006|2011-11-15T04:00:10.825+0000|41.216.238.101|Chrome|great|5
687194769007|2011-11-14T14:25:55.754+0000|118.107.107.109|Chrome|fine|4
687194769008|2011-11-14T20:56:13.849+0000|62.77.141.154|Chrome|no way!|7
687194769052|2011-09-30T16:14:53.924+0000|59.103.175.55|Firefox|About Laundry Service, . Whenever, Wherever (and its Spanish counterpart Suerte|79
687194769053|2011-10-01T13:46:56.829+0000|186.190.191.159|Internet Explorer|I see|5
687194769054|2011-10-01T15:16:55.467+0000|193.192.15.73|Internet Explorer|fine|4
687194769055|2011-09-30T23:11:00.051+0000|62.102.187.62|Firefox|no way!|7
687194769056|2011-09-30T18:00:54.775+0000|217.138.153.185|Chrome|About Deeper Underground, first single from British Acid Jazz band Jamiroquai's|79
687194769057|2011-09-30T18:47:25.574+0000|31.222.63.197|Chrome|maybe|5
687194769216|2011-10-17T06:51:13.695+0000|24.89.202.167|Internet Explorer|no|2
687194769217|2011-10-16T18:00:21.913+0000|114.134.191.9|Opera|About Benny Goodman, ially-integrated jazz groups. Goodman continued to perform to nearly the end of his life, iAbout Sergei Rachmaninoff, omposer, one of the last great representa|180
687194769218|2011-10-16T21:45:41.970+0000|46.30.186.76|Chrome|no|2
687194769219|2011-10-16T18:13:07.001+0000|213.55.90.107|Internet Explorer|About Benny Goodman, e end of his life, including About Sergei Rachmaninoff, er Russi|85
687194769220|2011-10-17T13:59:55.314+0000|170.155.95.16|Firefox|roflol|6
687194769221|2011-10-16T23:20:14.114+0000|31.170.205.119|Internet Explorer|no|2
687194769222|2011-10-16T21:49:21.270+0000|46.245.238.50|Opera|maybe|5
687194769223|2011-10-16T10:26:23.568+0000|112.72.6.47|Internet Explorer|About Circle in the Round, he same electric sessions of early 1970, with sitar a|80
687194769276|2011-11-18T19:05:04.183+0000|41.75.243.179|Firefox|yes|3
687194769277|2011-11-17T20:49:42.745+0000|186.190.187.199|Firefox|right|5
687194769278|2011-11-18T05:21:01.062+0000|41.217.248.86|Firefox|About Simón Bolívar, lowing the triumph over the Spanish Monarchy, Bolívar participated |88
687194769279|2011-11-17T23:51:21.425+0000|190.112.192.148|Internet Explorer|cool|4
687194769280|2011-11-17T22:26:52.937+0000|78.104.47.79|Internet Explorer|About Abraham Lincoln, , encouraging the border states to outlaw slavery, and helping push through Congress the Thirteenth Amendment to the United States Constitu|162
687194769281|2011-11-18T08:43:32.586+0000|175.107.220.97|Firefox|I see|5
687194769282|2011-11-18T06:27:02.705+0000|110.55.197.31|Internet Explorer|good|4
687194769283|2011-11-18T13:27:54.369+0000|103.3.59.68|Internet Explorer|maybe|5
687194769284|2011-11-18T00:44:47.245+0000|31.216.51.195|Chrome|maybe|5
687194769285|2011-11-18T11:59:43.058+0000|80.186.141.86|Firefox|right|5
687194769286|2011-11-17T19:19:44.035+0000|49.156.17.200|Internet Explorer|About Benny Goodman, rated jazz groups. Goodman continued to About Bruce Lee, g|79
687194769287|2011-11-17T19:30:55.343+0000|186.0.166.80|Firefox|maybe|5
687194769288|2011-11-18T12:53:30.032+0000|80.86.132.70|Chrome|right|5
618475292954|2011-09-12T19:55:21.815+0000|204.79.204.116|Firefox|duh|3
618475292955|2011-09-12T03:15:19.850+0000|46.235.10.247|Firefox|About Bad to the Bone, al release, its video made recurrent appearances on the nasc|83
687194769818|2011-10-21T16:47:06.898+0000|62.46.131.111|Firefox|About Will Smith, ght consecutive fAbout Some Girls, stribution to EasAbout Smells L|84
687194769819|2011-10-21T16:00:42.302+0000|31.216.4.109|Firefox|no|2
687194769820|2011-10-21T18:36:31.521+0000|114.140.127.152|Internet Explorer|About Will Smith, Academy Awards,About Smells Like Teen Spirit,  kids of GeneraAbout T|86
687194769821|2011-10-21T16:47:16.898+0000|31.24.221.222|Firefox|thx|3
687194769822|2011-10-21T19:34:19.560+0000|78.143.191.96|Internet Explorer|great|5
687194769823|2011-10-21T19:14:31.996+0000|27.54.145.24|Firefox|good|4
687194769824|2011-10-21T22:50:14.133+0000|195.190.134.158|Firefox|no way!|7
687194769825|2011-10-21T16:48:27.944+0000|8.56.14.11|Internet Explorer|About Nicholas II of Russia, olution of 191About Sunday Bloody Sunday, s depicted a|83
687194769826|2011-10-21T21:36:04.684+0000|31.210.31.187|Firefox|no way!|7
687194769827|2011-10-21T21:05:00.408+0000|168.101.113.241|Firefox|LOL|3
687194769828|2011-10-21T20:45:21.279+0000|85.30.68.89|Firefox|no way!|7
687194769829|2011-10-21T18:48:58.900+0000|41.190.87.89|Chrome|good|4
687194769830|2011-10-21T16:47:27.348+0000|31.47.66.152|Chrome|duh|3
687194769831|2011-10-22T01:33:34.215+0000|81.29.133.175|Chrome|thx|3
687194769832|2011-10-21T22:15:23.242+0000|196.202.235.116|Firefox|About Nicholas II of Russia, auses of the fall of the RAbout Marilyn Monroe, ed to comic effect in subsAbout Sunday Bloody Sunday,  relationships with |151
687194769833|2011-10-21T17:17:21.803+0000|190.111.106.119|Internet Explorer|About Will Smith, n the popular television series The About Isle of Man,  is a self-governing Crown DependencAbout Some Girls, Ofra Haza. Like the original recordiAbout Mongolia,|178
687194769834|2011-10-21T20:52:52.478+0000|62.240.45.91|Firefox|yes|3
687194769835|2011-10-22T12:20:57.468+0000|27.126.159.78|Internet Explorer|no way!|7
687194769836|2011-10-21T19:42:42.004+0000|200.62.121.4|Firefox|fine|4
687194769837|2011-10-21T20:21:06.648+0000|196.20.17.20|Firefox|great|5
481036339730|2011-05-14T12:49:52.493+0000|78.40.74.242|Firefox|About Adolf Hitler,  German expansionism, belieAbout Joan of Arc, e trial, prono|80
481036339731|2011-05-14T13:19:09.879+0000|46.16.189.227|Internet Explorer|About Adolf Hitler, e wrote Mein KamAbout Joan of Arc,  her homeland frAbou|75
481036339732|2011-05-15T00:11:50.048+0000|178.175.203.95|Firefox|About Gloria Macapagal-Arroyo, the Philippines frAbout Tarzan, eighborhood is locAbout Kh|89
481036339733|2011-05-15T03:30:36.233+0000|201.220.204.18|Firefox|thx|3
481036339734|2011-05-15T15:17:01.938+0000|59.113.39.65|Firefox|cool|4
481036339735|2011-05-14T12:50:14.710+0000|117.102.32.194|Firefox|right|5
481036339736|2011-05-14T20:22:23.145+0000|62.13.94.185|Chrome|About James Stewart,  a noted militarAbout Edgar Rice Burroughs, e Burroughs (|78
481036339737|2011-05-15T08:40:17.521+0000|190.6.149.14|Internet Explorer|About Joan of Arc, pronounced her innocent, and decAbout Jane Austen, sister Cassandra (to whom most oAbout Little Richard,  perhaps, Elvis Presley, Little Abo|159
481036339738|2011-05-14T20:24:10.408+0000|116.193.5.127|Internet Explorer|About Edgar Rice Burroughs, s in many geAbout Rihanna, a. Her fourtAbout A Quic|79
481036339739|2011-05-14T21:16:33.105+0000|77.75.81.254|Firefox|duh|3
481036339740|2011-05-15T00:17:21.658+0000|192.100.159.83|Firefox|cool|4
481036339741|2011-05-14T21:05:33.348+0000|31.24.163.114|Chrome|About Michelangelo, of subsequentAbout Rihanna,  was an interAbout Malcolm X, head El|85
481036339742|2011-05-15T00:38:38.980+0000|193.40.204.180|Opera|maybe|5
481036339743|2011-05-14T12:53:12.564+0000|117.55.193.26|Chrome|About Fyodor Dostoyevsky, ary prison in Omsk, Siberia. IAbout Tarzan, s a district in t|87
481036339744|2011-05-15T05:06:06.366+0000|41.215.249.163|Internet Explorer|I see|5
481036339746|2011-05-14T16:05:44.380+0000|46.211.84.121|Firefox|no|2
481036339747|2011-05-14T13:22:48.709+0000|163.10.241.115|Firefox|About Adolf Hitler, mmunism, anti-parliamentarianism,About Joan of Arc, d the siege in only nine days. SeAbout John Gielgud,  his|129
481036339748|2011-05-14T22:41:16.674+0000|204.79.166.101|Firefox|About Adolf Hitler, icken young man in VienAbout Joan of Arc, , an inquisitorial courAbo|88
481036339749|2011-05-15T12:46:20.949+0000|190.237.137.109|Firefox|ok|2
481036339750|2011-05-14T15:35:40.203+0000|200.89.85.201|Internet Explorer|I see|5
481036339751|2011-05-14T23:46:52.697+0000|213.55.111.210|Opera|cool|4
274877909545|2010-10-03T11:46:08.505+0000|200.124.12.144|Firefox|ok|2
274877909546|2010-10-03T09:15:46.223+0000|46.249.63.30|Internet Explorer|great|5
274877909547|2010-10-03T13:52:37.387+0000|58.84.92.101|Internet Explorer|thx|3
274877909548|2010-10-03T15:24:53.211+0000|200.0.204.209|Internet Explorer|About Adolf Hitler, , anti-communism, anti-parliameAbout Aaron Copland,  his life: his ear|90
274877909549|2010-10-03T15:42:10.989+0000|79.122.52.87|Internet Explorer|great|5
274877909550|2010-10-03T15:33:42.987+0000|101.0.54.170|Internet Explorer|thanks|6
274877909551|2010-10-03T17:43:20.611+0000|41.191.106.243|Internet Explorer|thanks|6
274877909552|2010-10-03T18:55:08.956+0000|27.111.19.146|Firefox|fine|4
274877909553|2010-10-03T09:03:49.433+0000|41.78.133.174|Firefox|yes|3
274877909554|2010-10-03T23:37:45.946+0000|46.5.156.10|Chrome|thx|3
274877909555|2010-10-03T09:34:09.151+0000|103.10.124.35|Firefox|About Andy Warhol, city, Pittsburgh, Pennsylvania, holds an extensive perman|76
274877909556|2010-10-03T16:49:26.305+0000|1.170.167.171|Chrome|About Dwight D. Eisenhower, nd to crusade against Communism, Korea anAbout Aaron|80
274877909557|2010-10-03T17:06:20.457+0000|109.74.47.113|Firefox|ok|2
618475293239|2011-08-27T23:44:38.073+0000|31.133.131.32|Firefox|About Joan of Arc, 9 years old. Twenty-fAbout Ferdinand Marcos, 949–1959) and a |80
618475293240|2011-08-28T00:59:10.273+0000|41.77.82.66|Opera|roflol|6
618475293241|2011-08-28T04:39:58.633+0000|192.245.121.228|Firefox|About Joan of Arc, folk heroine of FrancAbout Donna Summer, onna Adrian Gaines (DA|82
618475293242|2011-08-28T04:42:44.667+0000|31.22.226.24|Firefox|thx|3
618475293243|2011-08-28T07:03:35.059+0000|196.1.53.63|Firefox|About Joan of Arc, the present day, Joan of Arc hAbout Jamaica, are kilometres (4,240 sq mi) iAbout A Moment Like This, y Leona Lewis, the third wi|147
618475293244|2011-08-27T23:45:56.841+0000|80.90.173.13|Internet Explorer|About Donna Summer, co-wrote the song Love to Love YAbout John Mayer, ollaborating with renowned bluesAbout In Your Honor, y|124
618475293245|2011-08-28T10:02:17.573+0000|77.74.161.122|Opera|thx|3
618475293246|2011-08-28T11:46:27.166+0000|193.58.0.64|Firefox|yes|3
618475293247|2011-08-28T00:13:57.205+0000|46.28.219.195|Firefox|thx|3
618475293248|2011-08-28T17:54:40.675+0000|188.140.182.31|Internet Explorer|cool|4
618475293249|2011-08-28T07:15:45.536+0000|196.200.30.125|Chrome|About Joan of Arc, sion. She gainedAbout Kanye West, teen Grammy AwarAbout Jamaica, Britain on AugusAbout|105
618475293250|2011-08-28T07:20:39.635+0000|41.205.72.21|Internet Explorer|no way!|7
618475293251|2011-08-29T04:07:14.782+0000|190.22.73.129|Firefox|About Joan of Arc, captured by theAbout Jack Kerouac, he Dharma Bums,About Whataya Want |88
618475293252|2011-08-27T22:30:27.219+0000|124.248.169.142|Firefox|no|2
618475293253|2011-08-29T03:21:12.734+0000|182.161.4.229|Internet Explorer|roflol|6
343597386311|2011-01-05T19:20:03.714+0000|31.25.155.229|Opera|good|4
343597386312|2011-01-05T19:18:35.175+0000|196.45.186.196|Firefox|About Lewis Carroll, e contains materials that dAbout Ronald Reagan, lemented s|79
343597386313|2011-01-06T01:59:26.070+0000|41.207.57.176|Firefox|no way!|7
343597386314|2011-01-06T09:24:11.193+0000|31.193.13.5|Opera|About Malaysia, e branches; the Royal Malaysian Navy, the Malaysian Army and the Royal Malaysian Air Force .About Central African Republic,  covers a land area of about 240,000 square|183
343597386315|2011-01-06T14:29:44.874+0000|41.75.242.179|Chrome|About Ronald Reagan, the California governorship, winning twAbout Osama bin Laden,  member of the wealthy Saudi bin Laden About Vijayanagara Empire, a S|152
343597386316|2011-01-06T18:26:40.881+0000|109.74.39.161|Firefox|yes|3
343597386317|2011-01-07T09:17:12.686+0000|46.44.248.2|Internet Explorer|no way!|7
343597386318|2011-01-05T19:45:21.472+0000|190.9.54.163|Internet Explorer|maybe|5
343597386319|2011-01-05T19:23:03.450+0000|77.244.242.88|Firefox|About Napoleon, cedented scale, mainly owing tAbout Lewis Carroll, t the history of the |88
343597386320|2011-01-06T12:52:13.096+0000|186.1.230.205|Opera|yes|3
343597386321|2011-01-06T00:32:15.105+0000|190.81.65.244|Internet Explorer|right|5
343597386322|2011-01-06T00:34:46.482+0000|84.39.241.171|Internet Explorer|About Lewis Carroll,  The archive contains materials that documAbout Everytime, o Timberlake's 2002 single Cry Me a River About Henry Wadsworth Longfellow, ht fire. |165
343597386323|2011-01-06T15:04:21.382+0000|83.131.66.121|Chrome|yes|3
343597386324|2011-01-05T23:02:42.098+0000|200.48.218.226|Firefox|thx|3
343597386325|2011-01-06T00:13:04.315+0000|41.208.121.211|Firefox|good|4
274877909591|2010-10-22T00:34:46.071+0000|78.111.63.173|Firefox|About Love Will Tear Us Apart, Us Apart inscribed on Ian Curtis's memorial stone. The song|90
274877909592|2010-10-22T12:16:29.528+0000|41.190.73.12|Firefox|thanks|6
274877909593|2010-10-22T07:42:49.052+0000|66.231.79.76|Firefox|About Hernán Cortés,  son. When the Governor of Cuba sent emissaAbout Love Will Tear|84
274877909594|2010-10-22T19:36:12.760+0000|46.189.231.6|Firefox|duh|3
274877909595|2010-10-22T00:36:59.567+0000|31.185.251.75|Firefox|ok|2
274877909596|2010-10-22T04:44:26.768+0000|89.205.122.151|Internet Explorer|cool|4
274877909597|2010-10-22T11:59:23.848+0000|124.199.122.222|Firefox|About Lewis Carroll, roll's contribution to society. The organizAbout Love Will Tear |85
274877909598|2010-10-23T11:29:19.611+0000|27.118.77.99|Chrome|About Lewis Carroll, on on Society meetings, and membeAbout Love Will Tear Us Apart, t also debu|96
481036339808|2011-04-06T16:18:32.426+0000|103.3.234.182|Firefox|About Adolf Hitler, I, during which he turned to nationalisAbout Norman Cook|76
481036339809|2011-04-06T15:17:23.932+0000|46.19.80.229|Firefox|great|5
481036339810|2011-04-06T23:36:21.886+0000|85.132.120.187|Firefox|About State of Palestine, s recognise the PLO as the representative of the Pale|79
481036339811|2011-04-06T21:53:47.592+0000|27.116.44.174|Firefox|no|2
481036339812|2011-04-06T18:43:25.604+0000|79.170.147.180|Firefox|About Adolf Hitler, 0s, during which his early political careeAbout Northern Irela|82
481036339813|2011-04-06T15:30:34.720+0000|41.223.29.223|Firefox|About Lord Byron, n is an opera in three acts by Virgil Thomson to an original|78
481036339814|2011-04-07T06:11:05.536+0000|204.231.239.47|Firefox|fine|4
481036339815|2011-04-06T19:16:52.585+0000|46.183.22.13|Firefox|About Adolf Hitler, emitism, anti-communism, aAbout George H. W. Bush, head|75
481036339816|2011-04-06T18:10:29.799+0000|41.75.248.178|Firefox|no|2
481036339817|2011-04-06T15:42:26.427+0000|201.220.137.156|Chrome|cool|4
481036339818|2011-04-07T05:49:39.565+0000|170.205.83.216|Firefox|maybe|5
481036339819|2011-04-07T06:14:00.021+0000|203.215.62.183|Chrome|no way!|7
481036339820|2011-04-07T00:30:25.585+0000|200.46.178.237|Firefox|About Ray Bradbury, rican writers of speculative fiction. ManyAbout State of Palest|83
481036339821|2011-04-07T00:15:26.100+0000|79.141.87.69|Firefox|About Benito Mussolini, he Allied invasion of Italy, through the Ordine del giorno Grandi Musso|95
481036339822|2011-04-07T13:55:06.780+0000|166.110.65.192|Firefox|LOL|3
481036339823|2011-04-07T14:02:54.343+0000|182.161.80.166|Firefox|I see|5
481036339824|2011-04-07T08:19:16.841+0000|175.106.62.55|Internet Explorer|maybe|5
481036339825|2011-04-06T16:19:42.320+0000|111.125.156.29|Internet Explorer|About Saint Patrick, ed as an artillery unit for much of thAbout Norman Coo|75
481036339827|2011-05-16T23:54:14.111+0000|81.161.164.218|Firefox|LOL|3
