Person.id|Person.id|creationDate
4398046511181|17592186044446|2011-07-11T08:13:29.602+0000
4398046511181|21990232555554|2011-10-28T19:04:28.432+0000
8796093022287|17592186044456|2011-06-19T12:30:36.051+0000
4398046511126|4398046511181|2010-07-19T20:20:49.984+0000
4398046511126|6597069766716|2010-10-19T18:10:08.650+0000
4398046511126|10995116277807|2011-01-01T21:45:50.365+0000
4398046511126|10995116277818|2011-01-01T18:30:50.528+0000
4398046511126|13194139533364|2011-02-21T18:57:09.803+0000
4398046511126|13194139533378|2011-03-23T21:25:14.417+0000
94|10995116277803|2011-01-28T15:30:19.989+0000
94|10995116277848|2011-01-16T01:06:25.379+0000
94|13194139533402|2011-03-17T03:28:10.127+0000
94|15393162788908|2011-06-17T08:01:18.442+0000
94|19791209299992|2011-09-19T03:00:32.897+0000
10995116277769|10995116277802|2011-02-01T20:49:01.689+0000
10995116277769|10995116277807|2011-01-26T12:23:22.634+0000
10995116277769|13194139533348|2011-03-22T05:31:59.629+0000
10995116277769|13194139533402|2011-03-15T20:29:43.178+0000
10995116277769|15393162788868|2011-05-01T15:33:16.657+0000
10995116277769|15393162788908|2011-06-14T16:13:07.876+0000
10995116277769|15393162788915|2011-04-17T12:50:39.672+0000
10995116277769|17592186044423|2011-06-26T21:40:48.087+0000
10995116277769|17592186044430|2011-06-24T07:27:28.935+0000
10995116277769|17592186044456|2011-06-20T05:42:16.253+0000
10995116277769|17592186044509|2011-07-06T01:01:00.327+0000
10995116277769|19791209300048|2011-08-23T02:12:13.148+0000
10995116277769|21990232555569|2011-11-13T07:59:34.250+0000
13194139533328|17592186044456|2011-06-24T07:34:56.906+0000
10995116277802|10995116277818|2011-01-01T00:37:59.264+0000
10995116277802|13194139533330|2011-03-24T16:31:14.357+0000
10995116277802|13194139533402|2011-03-21T18:03:01.543+0000
10995116277802|15393162788868|2011-04-25T12:33:29.614+0000
10995116277802|15393162788915|2011-04-28T02:21:28.844+0000
10995116277802|17592186044508|2011-06-18T08:07:18.899+0000
10995116277802|19791209299992|2011-09-23T18:45:25.375+0000
10995116277802|19791209300024|2011-09-29T03:49:51.463+0000
13194139533357|17592186044456|2011-06-18T12:20:59.767+0000
13194139533357|17592186044508|2011-06-06T00:55:12.768+0000
13194139533357|21990232555554|2011-11-07T04:44:04.746+0000
10995116277789|10995116277848|2011-01-21T11:39:09.681+0000
10995116277789|13194139533364|2011-03-11T05:27:46.010+0000
10995116277789|13194139533378|2011-04-02T09:11:13.424+0000
10995116277789|15393162788955|2011-05-09T13:29:12.973+0000
10995116277789|19791209299992|2011-10-04T21:31:39.206+0000
15393162788961|17592186044456|2011-06-26T05:38:18.781+0000
17592186044456|17592186044508|2011-06-16T21:02:42.880+0000
17592186044456|21990232555554|2011-11-18T16:21:07.143+0000
17592186044456|21990232555604|2011-09-29T02:47:20.730+0000
13194139533364|15393162788961|2011-05-03T00:13:12.707+0000
2199023255611|2199023255625|2010-06-06T04:22:04.932+0000
2199023255611|4398046511181|2010-07-17T12:42:34.814+0000
2199023255611|6597069766661|2010-10-07T03:47:10.809+0000
2199023255611|10995116277789|2010-12-09T10:23:15.380+0000
2199023255611|10995116277802|2010-12-21T04:19:46.860+0000
2199023255611|13194139533348|2011-03-29T07:45:06.082+0000
2199023255611|13194139533378|2011-03-28T08:40:33.016+0000
2199023255611|15393162788955|2011-05-18T23:00:00.179+0000
2199023255611|15393162788961|2011-05-09T01:10:07.029+0000
8796093022216|15393162788908|2011-06-16T18:27:45.673+0000
2199023255565|17592186044456|2011-06-16T20:18:01.393+0000
13194139533330|15393162788868|2011-04-14T11:54:53.577+0000
8796093022227|10995116277769|2011-01-24T13:23:23.647+0000
8796093022227|10995116277802|2010-12-21T15:40:03.698+0000
10995116277803|10995116277848|2011-01-17T16:24:27.564+0000
10995116277803|21990232555554|2011-10-30T14:13:46.771+0000
10995116277803|21990232555618|2011-11-17T18:18:30.157+0000
8796093022240|10995116277803|2011-02-03T09:06:56.972+0000
8796093022240|17592186044456|2011-06-12T21:37:37.462+0000
8796093022240|21990232555554|2011-11-18T05:11:03.246+0000
13194139533312|19791209299992|2011-09-09T01:24:11.246+0000
2199023255593|2199023255611|2010-06-16T02:22:57.912+0000
2199023255593|2199023255637|2010-05-20T00:33:49.105+0000
2199023255593|4398046511141|2010-07-12T03:53:03.514+0000
2199023255593|10995116277769|2011-02-14T10:41:24.263+0000
2199023255593|10995116277789|2010-12-24T16:01:25.547+0000
2199023255593|13194139533378|2011-04-14T02:34:34.804+0000
2199023255593|15393162788868|2011-04-21T08:49:40.081+0000
2199023255593|19791209299992|2011-09-27T21:27:47.913+0000
4398046511185|6597069766742|2010-10-07T15:46:45.062+0000
4398046511185|8796093022240|2010-11-25T03:00:35.520+0000
4398046511185|10995116277769|2011-01-31T06:00:42.423+0000
4398046511185|15393162788868|2011-04-23T17:54:04.545+0000
4398046511185|17592186044508|2011-06-07T04:51:11.344+0000
4398046511185|21990232555554|2011-11-04T17:18:59.903+0000
15393162788868|15393162788895|2011-05-30T23:49:36.390+0000
15393162788868|15393162788955|2011-05-11T16:16:53.592+0000
15393162788868|17592186044423|2011-06-05T06:06:00.416+0000
15393162788868|17592186044456|2011-06-12T11:12:50.148+0000
15393162788868|17592186044508|2011-05-30T05:48:17.655+0000
15393162788868|19791209299992|2011-10-02T18:56:12.813+0000
15393162788868|19791209300014|2011-10-06T20:00:34.266+0000
15393162788868|19791209300024|2011-09-07T12:53:43.226+0000
15393162788868|21990232555554|2011-11-04T09:35:57.114+0000
15393162788868|21990232555604|2011-10-14T01:55:58.298+0000
4398046511168|4398046511173|2010-07-10T01:42:48.778+0000
4398046511168|4398046511185|2010-07-11T20:06:25.463+0000
4398046511168|6597069766742|2010-10-07T18:29:52.984+0000
4398046511168|8796093022240|2010-11-27T15:03:21.306+0000
4398046511168|15393162788868|2011-04-06T09:41:58.747+0000
4398046511168|17592186044509|2011-06-29T22:52:32.050+0000
4398046511168|19791209299992|2011-09-23T21:37:37.795+0000
4398046511168|21990232555554|2011-10-25T15:58:58.232+0000
2199023255628|4398046511126|2010-07-15T21:39:36.365+0000
2199023255628|4398046511173|2010-06-27T01:29:27.168+0000
2199023255628|4398046511181|2010-06-23T18:08:11.190+0000
2199023255628|6597069766684|2010-09-21T11:18:44.590+0000
2199023255628|6597069766716|2010-10-04T04:24:44.640+0000
2199023255628|10995116277789|2010-12-05T19:50:43.246+0000
2199023255628|10995116277802|2010-12-12T07:30:23.114+0000
2199023255628|10995116277803|2011-02-02T14:35:42.304+0000
2199023255628|13194139533328|2011-03-14T09:59:18.420+0000
2199023255628|13194139533364|2011-03-10T13:21:28.171+0000
2199023255628|21990232555618|2011-11-14T17:53:46.042+0000
96|10995116277769|2011-02-01T13:03:42.620+0000
96|10995116277802|2011-01-05T05:55:58.500+0000
2199023255625|8796093022240|2010-11-22T11:41:09.078+0000
2199023255625|10995116277761|2011-01-07T14:10:21.711+0000
2199023255625|13194139533348|2011-03-20T14:08:59.370+0000
2199023255625|13194139533378|2011-03-29T16:04:24.424+0000
2199023255625|15393162788955|2011-05-05T14:25:44.007+0000
2199023255625|21990232555554|2011-11-10T18:07:33.084+0000
10995116277762|10995116277769|2011-01-27T21:33:37.360+0000
10995116277762|15393162788868|2011-04-21T06:09:18.183+0000
6597069766742|17592186044456|2011-06-20T06:09:58.386+0000
15393162788908|17592186044430|2011-06-15T19:24:48.495+0000
4398046511167|17592186044456|2011-06-20T16:58:57.565+0000
4398046511167|21990232555554|2011-10-30T12:30:58.919+0000
6597069766684|6597069766716|2010-10-07T07:05:38.035+0000
6597069766684|6597069766738|2010-09-21T08:31:01.991+0000
6597069766684|10995116277802|2010-12-10T06:08:16.160+0000
6597069766684|13194139533328|2011-03-03T11:05:47.421+0000
6597069766684|15393162788868|2011-04-15T10:55:21.044+0000
6597069766684|17592186044443|2011-06-13T20:33:46.415+0000
17592186044454|21990232555554|2011-11-19T22:57:10.070+0000
