Post.id|Tag.id
412316863556|3111
412316863556|5065
412316863556|6359
481036340427|4843
618475293947|396
618475293947|1767
618475293947|2925
618475293947|3070
618475293947|6543
618475293947|6558
618475293947|6965
618475293947|6996
618475293947|10669
618475293951|396
618475293951|2899
618475293951|7287
618475293951|9043
618475293951|11165
618475293951|11642
618475293951|12030
618475293956|396
618475293956|975
618475293956|8718
618475293956|8962
618475293956|9036
618475293959|396
618475293959|11315
618475293967|396
618475293967|2027
618475293967|6374
618475293967|6797
618475293967|6931
618475293967|8705
618475293967|9177
618475293988|6
618475293988|396
618475293988|5062
618475293988|8051
618475294003|396
618475294003|573
618475294003|576
618475294003|1174
618475294003|3023
618475294003|3100
618475294003|7100
618475294003|7479
618475294003|11876
549755817504|572
549755817504|1995
687194770986|572
687194770986|5438
343597387319|572
412316864072|572
412316864072|2828
412316864091|560
412316864091|1023
412316864091|2813
412316864091|8545
412316864093|560
412316864093|1672
412316864093|1994
412316864093|2958
412316864093|3097
412316864093|4986
412316864093|5677
412316864093|13832
412316864095|62
412316864095|560
412316864095|5173
412316864095|6944
412316864095|7547
412316864095|7570
412316864095|10022
412316864108|560
412316864108|5152
412316864108|5292
412316864108|6249
412316864108|9380
412316864118|560
412316864118|5641
412316864118|9078
412316864118|15079
481036340985|6
481036340985|9188
343597387526|6
343597387526|2023
343597387526|11247
412316864270|6
412316864285|6
412316864285|1989
481036341022|584
481036341022|1653
481036341022|9279
481036341037|1653
481036341037|6409
481036341037|7301
481036341037|11693
481036341037|12294
343597387574|413
343597387574|545
343597387574|7033
343597387574|8866
687194771289|1987
618475294560|1987
618475294563|1987
618475294585|1987
618475294595|1987
687194771358|1987
618475294688|1987
618475294708|1987
687194771463|1987
687194771470|1987
549755818006|1987
687194771481|1987
687194771502|1987
549755818049|1987
618475294789|1987
687194771526|1987
687194771622|1987
618475294898|1987
549755818452|441
549755818452|785
549755818452|1524
549755818452|1679
549755818452|2104
549755818452|2804
549755818452|2830
549755818452|6361
412316864981|1937
412316864981|2779
412316864981|6679
412316864981|9202
412316864981|9265
412316865000|1937
412316865000|2921
412316865000|7523
412316865000|8300
206158434796|6
206158434796|1545
206158434796|1995
206158434796|2031
412316865017|6
412316865017|2034
412316865017|6368
412316865017|9161
412316865022|6
412316865022|790
412316865022|11379
687194771982|6
343597388306|581
343597388306|1525
343597388306|9184
343597388306|11691
343597388306|12013
343597388312|1525
343597388312|2983
343597388324|1525
343597388324|10449
412316865604|574
412316865604|2910
412316865615|441
412316865615|1752
412316865615|6408
412316865615|7971
412316865615|9237
549755819241|283
549755819241|5063
549755819241|5085
549755819241|5663
549755819241|11745
412316865783|283
412316865783|2789
412316865783|5663
412316865783|6368
274877912326|283
274877912326|2822
274877912326|9098
274877912575|6
206158435860|1930
206158435860|3041
206158435860|7662
206158435860|8175
274877912612|1532
274877912612|1757
274877912612|2885
274877912612|5112
274877912612|6265
274877912612|7138
274877912612|9170
274877912619|1757
274877912619|2807
274877912619|7505
274877912619|9176
274877912619|11678
274877912637|1757
274877912637|5122
274877912637|8655
549755819839|205
549755819839|5085
549755819839|12145
687194773485|139
687194773485|6993
687194773488|139
687194773488|294
687194773488|1680
687194773488|2058
687194773488|6993
687194773488|7010
481036343293|1528
481036343293|9319
481036343293|11022
481036343312|1528
481036343312|9383
481036343324|1528
481036343324|2043
481036343324|7617
481036343324|11748
481036343324|12433
481036343345|1528
481036343345|5191
481036343345|7568
481036343345|9058
481036343345|10915
481036343345|13436
481036343366|1528
481036343366|7576
481036343366|8983
481036343366|9085
481036343366|10771
274877913555|1507
549755820512|1507
549755820512|6909
618475297265|1507
687194774011|799
687194774011|1296
687194774011|7692
687194774011|8266
274877913600|245
274877913600|472
274877913600|571
274877913600|2020
274877913600|2056
274877913600|7396
274877913600|7899
274877913600|13181
206158437071|1747
206158437071|12442
137438960343|1444
137438960343|3084
137438960343|6408
137438960343|11557
137438960343|15888
137438960361|145
137438960361|576
137438960361|1444
137438960361|2038
137438960361|2800
137438960361|6433
137438960361|7604
137438960361|9268
137438960361|11685
137438960364|1444
343597390800|6
343597390800|2023
618475297745|1168
618475297745|2947
618475297745|7289
618475297745|14862
687194774713|138
137438960844|447
137438960844|458
137438960844|810
137438960844|2089
137438960844|5633
137438960844|6130
137438960844|6545
137438960844|7579
137438960855|447
137438960855|2787
137438960855|2891
137438960855|5090
137438960855|7019
137438960855|7525
274877914342|562
274877914342|1669
274877914342|1677
274877914342|2823
274877914342|2998
274877914342|6371
274877914342|9770
687194774960|139
687194774960|2778
687194774983|6
687194774983|1995
412316868064|6
412316868064|6413
